_id,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,original_language,original_title,overview,popularity,poster_path,tagline,genres,spoken_languages,imdb_id,production_companies,production_countries
65ef4200675dde80108dbe5c,1224207,Adventures in Bora Bora,0.0,0,Released,2023-08-23T00:00:00.000Z,3000000000,5,False,/gkoq31q4fe9L1cCooZI5y61FlN7.jpg,800000000,https://m.youtube.com/watch?v=F-QGRigpYmw&pp=ygUbYWR2ZW50dXJlcyBpbiBib3JhIGJvcmEgYWNl,en,Adventures in Bora Bora,"The adventures in Bora Bora, is an astonishing short film about the struggles and horrors that there is in the complex dynamic of “Bora Bora”. Expect gore, treason, sex, and most importantly humour.",0.0,https://image.tmdb.org/t/p/original//hx51R9mVvy7tRxY9flKtfC4m2A6.jpg,(English),"Horror, War",English,,,
65ef3f30675dde8010852dc7,19995,Avatar,7.573,29815,Released,2009-12-15T00:00:00.000Z,2923706026,162,False,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,237000000,https://www.avatar.com/movies/avatar,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,https://image.tmdb.org/t/p/original//kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Enter the world of Pandora.,"Action, Adventure, Fantasy, Science Fiction","English, Spanish",tt0499549,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","United States of America, United Kingdom"
65ef3f30675dde8010852dd3,299534,Avengers: Endgame,8.263,23857,Released,2019-04-24T00:00:00.000Z,2800000000,181,False,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,356000000,https://www.marvel.com/movies/avengers-endgame,en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",91.756,https://image.tmdb.org/t/p/original//or06FN3Dka5tukK1e9sl16pB3iy.jpg,Avenge the fallen.,"Adventure, Science Fiction, Action","English, Japanese, Xhosa",tt4154796,Marvel Studios,United States of America
65ef3f30675dde8010852ede,76600,Avatar: The Way of Water,7.654,9830,Released,2022-12-14T00:00:00.000Z,2320250281,192,False,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,460000000,https://www.avatar.com/movies/avatar-the-way-of-water,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",241.285,https://image.tmdb.org/t/p/original//t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,Return to Pandora.,"Science Fiction, Adventure, Action",English,tt1630029,"20th Century Studios, Lightstorm Entertainment",United States of America
65ef3f30675dde8010852dd5,597,Titanic,7.9,23637,Released,1997-11-18T00:00:00.000Z,2264162353,194,False,/rzdPqYx7Um4FUZeD8wpXqjAUcEm.jpg,200000000,https://www.paramountmovies.com/movies/titanic,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",102.348,https://image.tmdb.org/t/p/original//9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Nothing on Earth could come between them.,"Drama, Romance","English, French, German, Swedish, Italian, Russian",tt0120338,"Paramount, 20th Century Fox, Lightstorm Entertainment",United States of America
65ef3f30675dde8010852dfc,140607,Star Wars: The Force Awakens,7.293,18352,Released,2015-12-15T00:00:00.000Z,2068223624,136,False,/8BTsTfln4jlQrLXUBquXJ0ASQy9.jpg,245000000,http://www.starwars.com/films/star-wars-episode-vii,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",66.772,https://image.tmdb.org/t/p/original//wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Every generation has a story.,"Adventure, Action, Science Fiction",English,tt2488496,"Lucasfilm Ltd., Bad Robot",United States of America
65ef3f30675dde8010852dca,299536,Avengers: Infinity War,8.255,27713,Released,2018-04-25T00:00:00.000Z,2052415039,149,False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,300000000,https://www.marvel.com/movies/avengers-infinity-war,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,https://image.tmdb.org/t/p/original//7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,An entire universe. Once and for all.,"Adventure, Action, Science Fiction","English, Xhosa",tt4154756,Marvel Studios,United States of America
65ef3f30675dde8010852dfd,634649,Spider-Man: No Way Home,7.99,18299,Released,2021-12-15T00:00:00.000Z,1921847111,148,False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,200000000,https://www.spidermannowayhome.movie,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",186.065,https://image.tmdb.org/t/p/original//5weKu49pzJCt06OPpjvT80efnQj.jpg,The Multiverse unleashed.,"Action, Adventure, Science Fiction","English, Tagalog",tt10872600,"Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America
65ef3f30675dde8010852df0,135397,Jurassic World,6.682,19414,Released,2015-06-06T00:00:00.000Z,1671537444,124,False,/dF6FjTZzRTENfB4R17HDN20jLT2.jpg,150000000,http://www.jurassicworld.com/,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",54.089,https://image.tmdb.org/t/p/original//A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,The park is open.,"Action, Adventure, Science Fiction, Thriller",English,tt0369610,"Amblin Entertainment, Universal Pictures",United States of America
65ef3f30675dde8010852dc8,24428,The Avengers,7.71,29166,Released,2012-04-25T00:00:00.000Z,1518815515,143,False,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,220000000,https://www.marvel.com/movies/the-avengers,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,https://image.tmdb.org/t/p/original//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Some assembly required.,"Science Fiction, Action, Adventure","English, Hindi, Russian",tt0848228,Marvel Studios,United States of America
