_id,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,original_language,original_title,overview,popularity,poster_path,tagline,genres,spoken_languages,imdb_id,production_companies,production_countries
65ef4200675dde80108dbe5c,1224207,Adventures in Bora Bora,0.0,0,Released,2023-08-23T00:00:00.000Z,3000000000,5,False,/gkoq31q4fe9L1cCooZI5y61FlN7.jpg,800000000,https://m.youtube.com/watch?v=F-QGRigpYmw&pp=ygUbYWR2ZW50dXJlcyBpbiBib3JhIGJvcmEgYWNl,en,Adventures in Bora Bora,"The adventures in Bora Bora, is an astonishing short film about the struggles and horrors that there is in the complex dynamic of “Bora Bora”. Expect gore, treason, sex, and most importantly humour.",0.0,https://image.tmdb.org/t/p/original//hx51R9mVvy7tRxY9flKtfC4m2A6.jpg,(English),"Horror, War",English,,,
65ef3f30675dde8010852df0,135397,Jurassic World,6.682,19414,Released,2015-06-06T00:00:00.000Z,1671537444,124,False,/dF6FjTZzRTENfB4R17HDN20jLT2.jpg,150000000,http://www.jurassicworld.com/,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",54.089,https://image.tmdb.org/t/p/original//A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,The park is open.,"Action, Adventure, Science Fiction, Thriller",English,tt0369610,"Amblin Entertainment, Universal Pictures",United States of America
65ef3f30675dde8010852ed3,168259,Furious 7,7.238,9988,Released,2015-04-01T00:00:00.000Z,1515341399,137,False,/cHkhb5A4gQRK6zs6Pv7zorHs8Nk.jpg,190000000,https://www.thefastsaga.com/fast-saga/ff7,en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,62.276,https://image.tmdb.org/t/p/original//ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Vengeance hits home,"Action, Thriller, Crime","Arabic, English, Spanish, Thai",tt2820852,"Original Film, One Race, Universal Pictures",United States of America
65ef3f30675dde8010852f80,361743,Top Gun: Maverick,8.26,7546,Released,2022-05-24T00:00:00.000Z,1488732821,131,False,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,170000000,https://www.topgunmovie.com,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",126.291,https://image.tmdb.org/t/p/original//62HCnUTziyWcpDaBO2i1DX17ljH.jpg,Feel the need... The need for speed.,"Action, Drama",English,tt1745960,"Skydance, Don Simpson/Jerry Bruckheimer Films, Paramount",United States of America
65ef3f30675dde8010852ddb,99861,Avengers: Age of Ultron,7.276,21754,Released,2015-04-22T00:00:00.000Z,1405403694,141,False,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,365000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",96.565,https://image.tmdb.org/t/p/original//4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,A new age has come.,"Action, Adventure, Science Fiction",English,tt2395427,Marvel Studios,United States of America
65ef3f30675dde8010852fd3,502356,The Super Mario Bros. Movie,7.775,6743,Released,2023-04-05T00:00:00.000Z,1355725263,93,False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,100000000,https://www.thesupermariobros.movie,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",410.411,https://image.tmdb.org/t/p/original//qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,Not all heroes wear capes. Some wear overalls.,"Animation, Family, Adventure, Fantasy, Comedy",English,tt6718170,"Universal Pictures, Illumination, Nintendo","Japan, United States of America"
65ef3f30675dde8010852ec2,351286,Jurassic World: Fallen Kingdom,6.548,10431,Released,2018-06-22T00:00:00.000Z,1310466296,129,False,/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg,170000000,https://www.uphe.com/movies/jurassic-world-fallen-kingdom,en,Jurassic World: Fallen Kingdom,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",44.365,https://image.tmdb.org/t/p/original//2CQ53CuWD1KdlOkEWhJcEVjqKn4.jpg,The park is gone.,"Action, Adventure, Science Fiction, Thriller","English, Russian",tt4881806,"Amblin Entertainment, Universal Pictures",United States of America
65ef3f30675dde8010852e30,321612,Beauty and the Beast,6.967,14871,Released,2017-03-16T00:00:00.000Z,1266115964,129,False,/m3tdSyl11fhgXPDSEt3aBctTqGP.jpg,160000000,http://movies.disney.com/beauty-and-the-beast-2017,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,56.226,https://image.tmdb.org/t/p/original//hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,Be our guest.,"Family, Fantasy, Romance","English, French",tt2771200,"Walt Disney Pictures, Mandeville Films",United States of America
65ef3f30675dde8010852ee4,337339,The Fate of the Furious,6.887,9719,Released,2017-04-12T00:00:00.000Z,1236005118,136,False,/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,250000000,https://www.thefastsaga.com/fast-saga/ff8,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",56.124,https://image.tmdb.org/t/p/original//dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,Family no more.,"Action, Crime, Thriller","English, Spanish",tt4630562,"Original Film, One Race, Universal Pictures",United States of America
65ef3f30675dde8010852e60,297802,Aquaman,6.9,12965,Released,2018-12-07T00:00:00.000Z,1148528393,143,False,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,160000000,https://www.warnerbros.com/movies/aquaman,en,Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",52.471,https://image.tmdb.org/t/p/original//xLPffWMhMj1l50ND3KchMjYoKmE.jpg,Home Is Calling,"Action, Adventure, Fantasy",English,tt1477834,"Warner Bros. Pictures, The Safran Company, DC Films",United States of America
